Platform, Symbol, Units, LR, Test_Loss, Test_Acc, Val_Loss, Train_f_shape_0, Train_f_shape_1
Binance,AAVEUSDT,512,0.01,0.00015701280790381134,0.012530474923551083,0.000189249447430484,1,2
Binance,AAVEUSDT,384,0.01,0.0014279596507549286,0.037788353860378265,0.00027201406192034483,1,2
Binance,ADAUSDT,480,0.0001,0.007389134727418423,0.08596007525920868,0.0005887604784220457,1,2
Binance,BATUSDT,512,0.0001,0.0006704702973365784,0.0258934423327446,5.057551243226044e-05,1,2
Binance,BNBUSDT,512,0.0001,0.01003916747868061,0.10019564628601074,0.0007945445831865072,1,2
Binance,BTCUSDT,512,0.0001,0.0012809551553800702,0.03579043224453926,6.442197627620772e-05,1,2
Binance,BTTUSDT,512,0.0001,0.00017702580953482538,0.01330510526895523,9.849927664618008e-06,1,2
Binance,CELRUSDT,512,0.0001,0.0004993812181055546,0.02234683930873871,3.847494372166693e-05,1,2
Binance,CVCUSDT,512,0.01,0.00037717499071732163,0.019420994445681572,7.319168071262538e-05,1,2
Binance,DAIUSDT,32,0.1,0.15569838881492615,0.39458635449409485,0.30781927704811096,1,2
Binance,DASHUSDT,512,0.0001,2.267528179800138e-05,0.004761856980621815,0.0009644512902013958,1,2
Binance,DOTUSDT,512,0.001,9.53751296037808e-05,0.009766018949449062,3.5380762710701674e-05,1,2
Binance,EOSUSDT,512,0.0001,3.8517144275829196e-05,0.0062062181532382965,0.0007477100007236004,1,2
Binance,ETCUSDT,512,0.0001,0.09549975395202637,0.30903035402297974,1.4920129776000977,1,2
Binance,ETHUSDT,512,0.0001,0.01319699827581644,0.11487819254398346,0.0009838887490332127,1,2
Binance,FILUSDT,96,0.01,0.0008318496402353048,0.028841804713010788,7.875909068388864e-05,1,2
Binance,ICPUSDT,160,0.01,0.0003704560804180801,0.019247235730290413,0.00012675885227508843,1,2
Binance,ICXUSDT,256,0.01,0.009677800349891186,0.09837580472230911,0.00038845883682370186,1,2
Binance,LINKUSDT,128,0.001,0.00043926091166213155,0.02095855213701725,7.557476783404127e-05,1,2
Binance,LRCUSDT,512,0.001,8.423301551374607e-06,0.0029022926464676857,1.434838031855179e-05,1,2
Binance,LTCUSDT,416,0.0001,0.00035899254726246,0.018947100266814232,7.445007213391364e-05,1,2
Binance,MATICUSDT,32,0.01,0.012543593533337116,0.11199817806482315,7.008188549662009e-05,1,2
Binance,MKRUSDT,128,0.01,0.0045533087104558945,0.06747821718454361,0.00020211627997923642,1,2
Binance,NEOUSDT,288,0.0001,0.0002647112705744803,0.016269950196146965,0.00014412670861929655,1,2
Binance,ONEUSDT,512,0.0001,0.0001122503454098478,0.010594826191663742,2.2888078092364594e-05,1,2
Binance,PAXUSDT,512,0.0001,0.003273170441389084,0.057211630046367645,0.008021978661417961,1,2
Binance,QTUMUSDT,480,0.01,0.05028953030705452,0.22425326704978943,0.006456817500293255,1,2
Binance,SCUSDT,224,0.001,0.0005025741993449628,0.02241816744208336,1.2237065675435588e-05,1,2
Binance,SOLUSDT,512,0.01,6.886288642883301,2.624173879623413,0.006851810030639172,1,2
